# MultiGeometry integrator with 121 geometries on (4, 66) radial range (2th_deg) and (-180, 180) azimuthal range (deg)
# 
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
# --> LaB6_BM20_over3.dat
#       2th_deg             I 
  4.002038e+00    3.243401e+09
  4.006114e+00    3.256771e+09
  4.010191e+00    3.272317e+09
  4.014267e+00    3.283611e+09
  4.018343e+00    3.280545e+09
  4.022419e+00    3.273662e+09
  4.026496e+00    3.260282e+09
  4.030572e+00    3.255324e+09
  4.034648e+00    3.247065e+09
  4.038725e+00    3.233623e+09
  4.042801e+00    3.226945e+09
  4.046877e+00    3.221088e+09
  4.050953e+00    3.231550e+09
  4.055030e+00    3.245859e+09
  4.059106e+00    3.244713e+09
  4.063182e+00    3.236624e+09
  4.067258e+00    3.236605e+09
  4.071335e+00    3.247320e+09
  4.075411e+00    3.255901e+09
  4.079487e+00    3.248562e+09
  4.083563e+00    3.240840e+09
  4.087640e+00    3.225360e+09
  4.091716e+00    3.218314e+09
  4.095792e+00    3.218168e+09
  4.099869e+00    3.221829e+09
  4.103945e+00    3.223383e+09
  4.108021e+00    3.220923e+09
  4.112097e+00    3.228955e+09
  4.116174e+00    3.227296e+09
  4.120250e+00    3.219583e+09
  4.124326e+00    3.201996e+09
  4.128402e+00    3.204814e+09
  4.132479e+00    3.194730e+09
  4.136555e+00    3.185219e+09
  4.140631e+00    3.155909e+09
  4.144707e+00    3.105228e+09
  4.148784e+00    3.073143e+09
  4.152860e+00    3.057123e+09
  4.156936e+00    3.046673e+09
  4.161012e+00    3.038043e+09
  4.165089e+00    3.030136e+09
  4.169165e+00    3.026746e+09
  4.173241e+00    3.025307e+09
  4.177318e+00    3.014171e+09
  4.181394e+00    2.997537e+09
  4.185470e+00    2.982905e+09
  4.189546e+00    2.978232e+09
  4.193623e+00    2.976615e+09
  4.197699e+00    2.971840e+09
  4.201775e+00    2.962530e+09
  4.205851e+00    2.949937e+09
  4.209928e+00    2.943978e+09
  4.214004e+00    2.936150e+09
  4.218080e+00    2.921742e+09
  4.222156e+00    2.912611e+09
  4.226233e+00    2.903953e+09
  4.230309e+00    2.905645e+09
  4.234385e+00    2.904476e+09
  4.238462e+00    2.903775e+09
  4.242538e+00    2.907569e+09
  4.246614e+00    2.893618e+09
  4.250690e+00    2.882852e+09
  4.254767e+00    2.886252e+09
  4.258843e+00    2.892366e+09
  4.262919e+00    2.889057e+09
  4.266995e+00    2.883764e+09
  4.271072e+00    2.884342e+09
  4.275148e+00    2.883090e+09
  4.279224e+00    2.870233e+09
  4.283300e+00    2.865110e+09
  4.287377e+00    2.865105e+09
  4.291453e+00    2.858091e+09
  4.295529e+00    2.858033e+09
  4.299606e+00    2.851280e+09
  4.303682e+00    2.851600e+09
  4.307758e+00    2.844425e+09
  4.311834e+00    2.853925e+09
  4.315911e+00    2.861158e+09
  4.319987e+00    2.860787e+09
  4.324063e+00    2.857372e+09
  4.328139e+00    2.849373e+09
  4.332216e+00    2.843398e+09
  4.336292e+00    2.841692e+09
  4.340368e+00    2.843216e+09
  4.344444e+00    2.838720e+09
  4.348521e+00    2.838491e+09
  4.352597e+00    2.828353e+09
  4.356673e+00    2.828146e+09
  4.360750e+00    2.817903e+09
  4.364826e+00    2.818468e+09
  4.368902e+00    2.823552e+09
  4.372978e+00    2.827265e+09
  4.377055e+00    2.828405e+09
  4.381131e+00    2.831561e+09
  4.385207e+00    2.832610e+09
  4.389283e+00    2.835138e+09
  4.393360e+00    2.837478e+09
  4.397436e+00    2.841026e+09
  4.401512e+00    2.848928e+09
  4.405588e+00    2.844054e+09
  4.409665e+00    2.844743e+09
  4.413741e+00    2.832997e+09
  4.417817e+00    2.824767e+09
  4.421893e+00    2.819538e+09
  4.425970e+00    2.827017e+09
  4.430046e+00    2.830425e+09
  4.434122e+00    2.821162e+09
  4.438199e+00    2.808045e+09
  4.442275e+00    2.809456e+09
  4.446351e+00    2.810514e+09
  4.450427e+00    2.817207e+09
  4.454504e+00    2.823008e+09
  4.458580e+00    2.826159e+09
  4.462656e+00    2.822249e+09
  4.466732e+00    2.814200e+09
  4.470809e+00    2.808030e+09
  4.474885e+00    2.806905e+09
  4.478961e+00    2.805851e+09
  4.483037e+00    2.810991e+09
  4.487114e+00    2.813718e+09
  4.491190e+00    2.817735e+09
  4.495266e+00    2.824987e+09
  4.499343e+00    2.829849e+09
  4.503419e+00    2.827692e+09
  4.507495e+00    2.813984e+09
  4.511571e+00    2.800608e+09
  4.515648e+00    2.797118e+09
  4.519724e+00    2.801720e+09
  4.523800e+00    2.806946e+09
  4.527876e+00    2.806824e+09
  4.531953e+00    2.807305e+09
  4.536029e+00    2.814294e+09
  4.540105e+00    2.818879e+09
  4.544181e+00    2.821341e+09
  4.548258e+00    2.820349e+09
  4.552334e+00    2.813788e+09
  4.556410e+00    2.804091e+09
  4.560487e+00    2.803199e+09
  4.564563e+00    2.808847e+09
  4.568639e+00    2.818307e+09
  4.572715e+00    2.807790e+09
  4.576792e+00    2.807589e+09
  4.580868e+00    2.803574e+09
  4.584944e+00    2.808534e+09
  4.589020e+00    2.800646e+09
  4.593097e+00    2.791111e+09
  4.597173e+00    2.781930e+09
  4.601249e+00    2.789892e+09
  4.605325e+00    2.789351e+09
  4.609402e+00    2.793603e+09
  4.613478e+00    2.790383e+09
  4.617554e+00    2.794689e+09
  4.621631e+00    2.796945e+09
  4.625707e+00    2.802696e+09
  4.629783e+00    2.800374e+09
  4.633859e+00    2.802835e+09
  4.637936e+00    2.798788e+09
  4.642012e+00    2.796056e+09
  4.646088e+00    2.776449e+09
  4.650164e+00    2.759914e+09
  4.654241e+00    2.749405e+09
  4.658317e+00    2.742117e+09
  4.662393e+00    2.741348e+09
  4.666469e+00    2.736263e+09
  4.670546e+00    2.743398e+09
  4.674622e+00    2.742989e+09
  4.678698e+00    2.738657e+09
  4.682774e+00    2.725920e+09
  4.686851e+00    2.719534e+09
  4.690927e+00    2.719315e+09
  4.695003e+00    2.713863e+09
  4.699080e+00    2.705806e+09
  4.703156e+00    2.702115e+09
  4.707232e+00    2.713955e+09
  4.711308e+00    2.726962e+09
  4.715385e+00    2.730596e+09
  4.719461e+00    2.724044e+09
  4.723537e+00    2.719065e+09
  4.727613e+00    2.713010e+09
  4.731690e+00    2.710036e+09
  4.735766e+00    2.711095e+09
  4.739842e+00    2.711410e+09
  4.743918e+00    2.705537e+09
  4.747995e+00    2.701936e+09
  4.752071e+00    2.703951e+09
  4.756147e+00    2.710824e+09
